domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class
adhd,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,default_0_5,0.5,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,malo,0.06303053687575788,REJECT_AS_PRIMARY
adhd,caregiver_2_3,rebuild_v2,rf,engineered_compact,isotonic,default_0_5,0.5,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,malo,0.006844155366920179,HOLD_FOR_LIMITATION
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,recall_constrained,0.4049999999999999,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,malo,0.029140484327343508,HOLD_FOR_LIMITATION
adhd,psychologist_1_3,rebuild_v2,rf,engineered_compact,isotonic,balanced,0.18,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,malo,0.0015709403593870963,HOLD_FOR_LIMITATION
adhd,psychologist_2_3,rebuild_v2,rf,engineered_pruned,isotonic,precision_min_recall,0.5049999999999999,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,malo,0.036048947194355696,HOLD_FOR_LIMITATION
anxiety,psychologist_1_3,rebuild_v2,rf,engineered_full,isotonic,precision_min_recall,0.61,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,aceptable,-0.009266910636288594,REJECT_AS_PRIMARY
conduct,caregiver_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,precision_min_recall,0.6849999999999999,0.9280575539568344,0.80625,0.96875,0.8875,0.862876254180602,0.975859375,0.9476529887411712,0.0598134006093339,bueno,0.08803168607624934,REJECT_AS_PRIMARY
depression,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.5299999999999999,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,malo,0.06201350299673847,HOLD_FOR_LIMITATION
depression,caregiver_2_3,hybrid_final_decisive_rescue_v5,rf,precision_oriented_subset,none,balanced,0.43999999999999995,0.7789473684210526,0.9024390243902439,0.9472361809045227,0.9248376026473832,0.8361581920903954,0.9791334722392451,0.9185052705693368,0.04398048897286791,malo,0.025897374474397106,HOLD_FOR_LIMITATION
depression,psychologist_1_3,rebuild_v2,rf,stability_pruned_subset,isotonic,default_0_5,0.5,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,malo,0.029197626052499426,HOLD_FOR_LIMITATION
