mode,route,domain,best_config,selected_seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_balanced_accuracy_std,split_balanced_accuracy,split_delta_balanced_accuracy,missing15_delta,missing30_delta,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
caregiver,A,adhd,rf_compact,11,49,0.9258675001532145,0.8530020703933747,0.912,0.8825010351966874,0.8879268578953279,0.956952380952381,0.9687991525957029,0.08242304977709168,0.004386310992053679,0.8805714285714286,0.0019296066252588728,-0.0037018633540372528,0.0005797101449275625,1.0,0.0,0.0,0.10767803624946481
caregiver,A,conduct,rf_stability,11,49,0.9251461988304094,0.875,0.9724919093851133,0.9237459546925567,0.8993658671078025,0.9884911003236246,0.9742816010138142,0.043841172678817875,0.0011441857300753192,0.9229368932038835,0.0008090614886732128,0.00879854368932039,0.04676375404530745,1.0,0.0,0.0,0.10039960039960039
caregiver,A,elimination,rf_compact,47,49,0.8610661112396821,0.7826086956521738,0.8373333333333334,0.8099710144927537,0.8199311265724928,0.8861946169772258,0.9143711194857523,0.1352106415323715,0.006319920456719048,0.815304347826087,-0.005333333333333301,-0.008596273291925471,0.006633540372670832,1.0,0.0,0.0,0.10603682032253463
caregiver,A,anxiety,rf_stability,47,49,0.7836996888487403,0.9696969696969697,0.9196969696969696,0.9446969696969697,0.8668260096831526,0.9938475665748392,0.9846325531720056,0.02851793327457555,0.0010713739108887284,0.943939393939394,0.0007575757575757347,0.0002525252525252819,0.005303030303030439,1.0,0.0,0.0,0.10396746111031825
caregiver,A,depression,rf_stability,11,49,0.9602023407054854,0.9043478260869565,0.9746588693957116,0.939503347741334,0.9313552208881856,0.9906093736757352,0.9871322764419159,0.04143984461172343,0.000689891056020605,0.9404780066107297,-0.0009746588693956282,0.009221120433935118,0.044402067971862046,1.0,0.0,0.0,0.11417154274297131
caregiver,B,adhd,rf_stability,11,35,0.9393196219790414,0.8322981366459627,0.9306666666666668,0.8814824016563146,0.8825453640027033,0.9563561076604555,0.9686887740853548,0.08402787154795954,0.00202209503079131,0.8810434782608696,0.00043892339544504555,0.021739130434782556,0.029863354037267104,0.6025974025974026,0.3016983016983017,0.09570429570429569,0.0
caregiver,B,conduct,rf_compact,11,23,0.9372907153729072,0.8708333333333332,0.9773462783171522,0.9240898058252428,0.9028041324056505,0.9879652103559872,0.9726237570241004,0.04427293300640883,0.0018020925248686183,0.9215412621359224,0.0025485436893204483,0.009951456310679618,0.049656148867313954,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0
caregiver,B,elimination,rf_stability,29,17,0.9249896981984209,0.6128364389233955,0.936,0.7744182194616976,0.7372079007372507,0.8825175983436854,0.9117996314625985,0.13608941590087473,0.003873351332064109,0.7785590062111801,-0.0041407867494824835,0.049076604554865476,0.10703105590062119,0.9119703825586178,0.0,0.08802961744138214,0.0
caregiver,B,anxiety,rf_compact,47,260,0.7932800497673914,0.9494949494949495,0.9257575757575758,0.9376262626262627,0.8643634423275425,0.9839302112029386,0.9656382061789971,0.03832297249687643,0.003174193204539533,0.9333333333333333,0.004292929292929348,0.04898989898989903,0.11565656565656568,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0
caregiver,B,depression,rf_stability,11,18,0.8463541666666666,0.9420289855072465,0.884990253411306,0.9135096194592762,0.8916323731138546,0.9781337401474701,0.9696179461398137,0.059521297786545156,0.003427960664791051,0.9110856852275617,0.0024239342317144974,0.006848037969319469,0.019416899737265864,0.8811188811188811,0.0,0.1188811188811189,0.0
caregiver,C,adhd,rf_stability,11,224,0.9398564905414221,0.8405797101449276,0.9306666666666668,0.8856231884057971,0.8873642328683613,0.9590890269151139,0.96986924200803,0.08040105738681967,0.00543432789185188,0.8894658385093168,-0.003842650103519696,0.010650103519668774,0.010053830227743274,1.0,0.0,0.0,0.04367507492507492
caregiver,C,conduct,rf_compact,47,224,0.9461865636256839,0.8541666666666666,0.9805825242718447,0.9173745954692557,0.8971663257377543,0.9882281553398059,0.97279210366914,0.04738304102122775,0.005393852817118167,0.9038228155339806,0.013551779935275121,0.007524271844660165,0.03681229773462783,1.0,0.0,0.0,0.03602647352647353
caregiver,C,elimination,rf_stability,11,224,0.9175761821808175,0.9213250517598343,0.8933333333333334,0.9073291925465838,0.9194330820569774,0.9595859213250516,0.971421875358912,0.07782234241399594,0.005458266918320333,0.9107329192546584,-0.0034037267080745393,0.021987577639751527,0.033797101449275314,1.0,0.0,0.0,0.04108391608391609
caregiver,C,anxiety,rf_stability,29,224,0.8292053663570691,0.9191919191919191,0.9424242424242424,0.9308080808080806,0.8712774157382103,0.9846877869605142,0.9586023607813238,0.0409902153210018,0.003928371006591917,0.928030303030303,0.002777777777777657,0.010101010101010019,0.062373737373737304,1.0,0.0,0.0,0.03504308191808191
caregiver,C,depression,rf_stability,11,224,0.9441152135393569,0.9159420289855073,0.9629629629629629,0.9394524959742351,0.9294484937299464,0.9869310958555809,0.9805027877921849,0.04748919597029028,0.0013438621120348735,0.9447495550470378,-0.005297059072802757,0.036681074667344715,0.1250105941181456,1.0,0.0,0.0,0.05188561438561439
