trial_id,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,support_negative,support_positive,false_positive_rate,false_negative_rate,method,recall_floor,balanced_accuracy_tolerance
domain_adhd_strict_full,0.05,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.1,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.15,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.2,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.25,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.3,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.35,0.9825174825174825,0.9808944099378882,0.975609756097561,0.9937888198757764,0.968,0.9846153846153847,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,1,160,125,161,0.032,0.006211180124223602,grid,,
domain_adhd_strict_full,0.39999999999999997,0.9790209790209791,0.9777888198757764,0.9754601226993865,0.9875776397515528,0.968,0.9814814814814815,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,2,159,125,161,0.032,0.012422360248447204,grid,,
domain_adhd_strict_full,0.44999999999999996,0.9790209790209791,0.9777888198757764,0.9754601226993865,0.9875776397515528,0.968,0.9814814814814815,0.9923229813664596,0.9904855436091798,0.012544074104724988,121,4,2,159,125,161,0.032,0.012422360248447204,grid,,
domain_adhd_strict_full,0.49999999999999994,0.9825174825174825,0.9817888198757764,0.9814814814814815,0.9875776397515528,0.976,0.9845201238390093,0.9923229813664596,0.9904855436091798,0.012544074104724988,122,3,2,159,125,161,0.024,0.012422360248447204,grid,,
domain_adhd_strict_full,0.5,0.9825174825174825,0.9817888198757764,0.9814814814814815,0.9875776397515528,0.976,0.9845201238390093,0.9923229813664596,0.9904855436091798,0.012544074104724988,122,3,2,159,125,161,0.024,0.012422360248447204,grid,,
domain_adhd_strict_full,0.5499999999999999,0.986013986013986,0.9857888198757764,0.9875776397515528,0.9875776397515528,0.984,0.9875776397515528,0.9923229813664596,0.9904855436091798,0.012544074104724988,123,2,2,159,125,161,0.016,0.012422360248447204,grid,,
domain_adhd_strict_full,0.6,0.986013986013986,0.9857888198757764,0.9875776397515528,0.9875776397515528,0.984,0.9875776397515528,0.9923229813664596,0.9904855436091798,0.012544074104724988,123,2,2,159,125,161,0.016,0.012422360248447204,grid,,
domain_adhd_strict_full,0.65,0.986013986013986,0.9857888198757764,0.9875776397515528,0.9875776397515528,0.984,0.9875776397515528,0.9923229813664596,0.9904855436091798,0.012544074104724988,123,2,2,159,125,161,0.016,0.012422360248447204,grid,,
domain_adhd_strict_full,0.7,0.9825174825174825,0.9826832298136645,0.9875,0.9813664596273292,0.984,0.9844236760124611,0.9923229813664596,0.9904855436091798,0.012544074104724988,123,2,3,158,125,161,0.016,0.018633540372670808,grid,,
domain_adhd_strict_full,0.75,0.986013986013986,0.9866832298136645,0.9937106918238994,0.9813664596273292,0.992,0.9875,0.9923229813664596,0.9904855436091798,0.012544074104724988,124,1,3,158,125,161,0.008,0.018633540372670808,grid,,
