domain,mode,role,source_campaign,feature_set_id,secondary_metric_anomaly_flag,old_best_single_feature,old_best_single_feature_ba,old_shortcut_gap_vs_model_ba,root_cause_hypothesis
adhd,psychologist_full,psychologist,rebuild_v2,engineered_full,yes,eng_adhd_core_mean,0.8936445816337779,-0.01879616359828029,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal
anxiety,caregiver_2_3,caregiver,final_honest_improvement_v1,engineered_pruned,yes,eng_anxiety_core_mean,0.9351906504544918,-0.008883248730964577,secondary_metric_anomaly|anomaly_due_to_feature_dominance
anxiety,caregiver_full,caregiver,final_honest_improvement_v1,engineered_compact,yes,eng_anxiety_core_mean,0.9351906504544918,-0.01469720221933657,secondary_metric_anomaly|anomaly_due_to_feature_dominance
anxiety,psychologist_2_3,psychologist,final_honest_improvement_v1,engineered_pruned,yes,eng_anxiety_core_mean,0.9351906504544918,-0.008352024554362014,secondary_metric_anomaly|anomaly_due_to_feature_dominance
anxiety,psychologist_full,psychologist,final_honest_improvement_v1,engineered_pruned,yes,eng_anxiety_core_mean,0.9351906504544918,-0.010890095620351814,secondary_metric_anomaly|anomaly_due_to_feature_dominance
conduct,caregiver_full,caregiver,hybrid_final_aggressive_rescue_v6,dsm5_core_plus_context,yes,,,,secondary_metric_anomaly
conduct,psychologist_full,psychologist,hybrid_final_aggressive_rescue_v6,dsm5_core_plus_context,yes,,,,secondary_metric_anomaly
depression,caregiver_1_3,caregiver,rebuild_v2,precision_oriented_subset,no,mdd_02_loss_of_interest_or_pleasure,0.8265412427993627,0.013604608407893126,limited_separability_or_underfit|recall_tradeoff|precision_recall_tradeoff
depression,caregiver_2_3,caregiver,hybrid_final_decisive_rescue_v5,precision_oriented_subset,no,mdd_impairment,0.8591739183723495,-0.06566368427503377,insufficient_dsm5_core_signal|low_precision_due_to_boundary_noise|precision_recall_tradeoff
depression,caregiver_full,caregiver,boosted_v3,full_eligible,yes,mdd_impairment,0.8591739183723495,-0.0977721206632417,secondary_metric_anomaly|insufficient_dsm5_core_signal
depression,psychologist_1_3,psychologist,rebuild_v2,stability_pruned_subset,no,mdd_02_loss_of_interest_or_pleasure,0.8265412427993627,-0.037504596151489156,insufficient_dsm5_core_signal|limited_separability_or_underfit|low_precision_due_to_boundary_noise|precision_recall_tradeoff
depression,psychologist_2_3,psychologist,final_honest_improvement_v1,compact_subset,no,mdd_impairment,0.8591739183723495,-0.06691996568206893,insufficient_dsm5_core_signal|low_precision_due_to_boundary_noise
depression,psychologist_full,psychologist,boosted_v3,full_eligible,yes,mdd_impairment,0.8591739183723495,-0.09509320753656736,secondary_metric_anomaly|insufficient_dsm5_core_signal
elimination,caregiver_1_3,caregiver,boosted_v3,boosted_eng_full,yes,enuresis_event_frequency_per_week,0.8752695902228613,-0.06755229377549332,secondary_metric_anomaly|insufficient_dsm5_core_signal
elimination,caregiver_2_3,caregiver,final_honest_improvement_v1,engineered_compact,yes,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal
elimination,caregiver_full,caregiver,final_honest_improvement_v1,engineered_compact,yes,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal
elimination,psychologist_1_3,psychologist,boosted_v3,boosted_eng_full,yes,enuresis_event_frequency_per_week,0.8752695902228613,-0.06988329610649546,secondary_metric_anomaly|insufficient_dsm5_core_signal
elimination,psychologist_2_3,psychologist,final_honest_improvement_v1,engineered_pruned,yes,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal
elimination,psychologist_full,psychologist,final_honest_improvement_v1,engineered_compact,yes,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,secondary_metric_anomaly|anomaly_due_to_feature_dominance|insufficient_dsm5_core_signal
