domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features
adhd,caregiver_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,recall_target_guard,0.5599999999999999,0.7288135593220338,0.9148936170212766,0.917098445595855,0.9159960313085658,0.8113207547169812,0.9535607981479439,0.7357647200905179,0.07182720906310228,aceptable,0.020596773600852436,HOLD_FOR_LIMITATION,rf_plus_precision_recovery,36.0
adhd,caregiver_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,recall_target_guard,0.5399999999999999,0.7107438016528925,0.9148936170212766,0.9093264248704663,0.9121100209458715,0.8,0.9534505567192151,0.7218077314082578,0.07233457356099159,aceptable,0.020550839672215493,HOLD_FOR_LIMITATION,rf_plus_precision_recovery,69.0
adhd,caregiver_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,sigmoid,recall_target_guard,0.21999999999999997,0.7131147540983607,0.925531914893617,0.9093264248704663,0.9174291698820416,0.8055555555555556,0.9517969352882815,0.7519655132018477,0.07040019449335029,aceptable,-0.001929225002756052,HOLD_FOR_LIMITATION,rf_v11_calibrated_regularized,53.0
adhd,psychologist_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.5499999999999999,0.6904761904761905,0.925531914893617,0.8989637305699482,0.9122478227317825,0.7909090909090909,0.9497299084996141,0.7180700559629031,0.07867751257646272,malo,0.022186087531694487,HOLD_FOR_LIMITATION,rf_v11_calibrated_regularized,9.0
adhd,psychologist_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.6499999999999999,0.7641509433962265,0.8617021276595744,0.9352331606217616,0.898467644140668,0.81,0.972935729247051,0.9070592804693738,0.0878952629711962,aceptable,-0.009499136442141731,HOLD_FOR_LIMITATION,rf_v11_guardrail_randomized,27.0
anxiety,caregiver_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,f1_ba_conservative,0.5509721185330153,0.8554216867469879,0.8255813953488372,0.9695431472081218,0.8975622712784795,0.8402366863905325,0.9643637114862472,0.8985296515822613,0.1324680784221708,aceptable,-0.002429858733718926,HOLD_FOR_LIMITATION,rf_v11_guardrail_very_random,59.0
anxiety,caregiver_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,f1_ba_conservative,0.5299999999999999,0.8235294117647058,0.813953488372093,0.9619289340101523,0.8879412111911227,0.8187134502923976,0.9536654468185574,0.8531067850920091,0.1363188022729681,aceptable,0.005322079250777212,HOLD_FOR_LIMITATION,rf_v11_guardrail_very_random,126.0
anxiety,psychologist_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,recall_target_guard,0.5336125226848083,0.8452380952380952,0.8255813953488372,0.9670050761421319,0.8962932357454846,0.8352941176470589,0.9639652933537952,0.8800940637253928,0.11958115342547092,aceptable,-0.011765631763270834,HOLD_FOR_LIMITATION,rf_v11_guardrail_very_random,14.0
anxiety,psychologist_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,f1_ba_conservative,0.5394416137058918,0.8372093023255814,0.8372093023255814,0.9644670050761421,0.9008381537008618,0.8372093023255814,0.9733945224884901,0.89612205748892,0.12154854311232437,aceptable,0.013497029079604927,HOLD_FOR_LIMITATION,rf_v11_guardrail_very_random,60.0
anxiety,psychologist_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.5279665721525749,0.8676470588235294,0.686046511627907,0.9771573604060914,0.8316019360169992,0.7662337662337663,0.9554952189824106,0.8598799565788883,0.15828247470375356,malo,0.004476055562113945,HOLD_FOR_LIMITATION,rf_v11_guardrail_very_random,151.0
